Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190659:2488,49:49,HLT_Photon150_v1,L1_SingleEG30,1,1,15870.5170173,15870.5170173
190659:2488,50:50,HLT_Photon150_v1,L1_SingleEG30,1,1,15888.2157652,15888.2157652
190659:2488,51:51,HLT_Photon150_v1,L1_SingleEG30,1,1,15844.2993849,15844.2993849
190659:2488,52:52,HLT_Photon150_v1,L1_SingleEG30,1,1,14679.280076,14679.280076
190659:2488,53:53,HLT_Photon150_v1,L1_SingleEG30,1,1,15039.2175342,15039.2175342
190659:2488,54:54,HLT_Photon150_v1,L1_SingleEG30,1,1,15866.3459312,15866.3459312
190659:2488,55:55,HLT_Photon150_v1,L1_SingleEG30,1,1,15844.140102,15844.140102
190659:2488,56:56,HLT_Photon150_v1,L1_SingleEG30,1,1,15879.6036268,15879.6036268
190659:2488,57:57,HLT_Photon150_v1,L1_SingleEG30,1,1,13803.889061,13803.889061
190659:2488,58:58,HLT_Photon150_v1,L1_SingleEG30,1,1,15865.2969632,15865.2969632
190659:2488,59:59,HLT_Photon150_v1,L1_SingleEG30,1,1,15848.7923971,15848.7923971
190659:2488,60:60,HLT_Photon150_v1,L1_SingleEG30,1,1,15737.4602099,15737.4602099
190659:2488,61:61,HLT_Photon150_v1,L1_SingleEG30,1,1,15895.5825199,15895.5825199
190659:2488,62:62,HLT_Photon150_v1,L1_SingleEG30,1,1,15426.991361,15426.991361
190659:2488,63:63,HLT_Photon150_v1,L1_SingleEG30,1,1,15876.9671014,15876.9671014
190659:2488,64:64,HLT_Photon150_v1,L1_SingleEG30,1,1,14272.346998,14272.346998
190659:2488,65:65,HLT_Photon150_v1,L1_SingleEG30,1,1,14693.6483872,14693.6483872
190659:2488,66:66,HLT_Photon150_v1,L1_SingleEG30,1,1,15880.6277621,15880.6277621
190659:2488,67:67,HLT_Photon150_v1,L1_SingleEG30,1,1,14445.8983029,14445.8983029
190659:2488,68:68,HLT_Photon150_v1,L1_SingleEG30,1,1,15903.3871742,15903.3871742
190659:2488,69:69,HLT_Photon150_v1,L1_SingleEG30,1,1,15877.8608331,15877.8608331
190659:2488,70:70,HLT_Photon150_v1,L1_SingleEG30,1,1,15912.2179815,15912.2179815
190659:2488,71:71,HLT_Photon150_v1,L1_SingleEG30,1,1,16080.3683529,16080.3683529
190659:2488,72:72,HLT_Photon150_v1,L1_SingleEG30,1,1,16087.275604,16087.275604
190659:2488,73:73,HLT_Photon150_v1,L1_SingleEG30,1,1,16098.4100016,16098.4100016
190659:2488,74:74,HLT_Photon150_v1,L1_SingleEG30,1,1,16088.4179615,16088.4179615
190659:2488,75:75,HLT_Photon150_v1,L1_SingleEG30,1,1,16083.1652559,16083.1652559
190659:2488,76:76,HLT_Photon150_v1,L1_SingleEG30,1,1,16084.1713131,16084.1713131
190659:2488,77:77,HLT_Photon150_v1,L1_SingleEG30,1,1,16087.2675831,16087.2675831
190659:2488,78:78,HLT_Photon150_v1,L1_SingleEG30,1,1,16097.7012761,16097.7012761
190659:2488,79:79,HLT_Photon150_v1,L1_SingleEG30,1,1,16110.1283989,16110.1283989
190659:2488,80:80,HLT_Photon150_v1,L1_SingleEG30,1,1,16112.6131371,16112.6131371
190659:2488,81:81,HLT_Photon150_v1,L1_SingleEG30,1,1,16102.8073252,16102.8073252
190659:2488,82:82,HLT_Photon150_v1,L1_SingleEG30,1,1,16110.6725286,16110.6725286
190659:2488,83:83,HLT_Photon150_v1,L1_SingleEG30,1,1,16112.1206478,16112.1206478
190659:2488,84:84,HLT_Photon150_v1,L1_SingleEG30,1,1,16118.2809182,16118.2809182
190659:2488,85:85,HLT_Photon150_v1,L1_SingleEG30,1,1,16129.2927178,16129.2927178
190659:2488,86:86,HLT_Photon150_v1,L1_SingleEG30,1,1,16138.915891,16138.915891
190659:2488,87:87,HLT_Photon150_v1,L1_SingleEG30,1,1,16130.3716753,16130.3716753
190659:2488,88:88,HLT_Photon150_v1,L1_SingleEG30,1,1,16137.2605837,16137.2605837
190659:2488,89:89,HLT_Photon150_v1,L1_SingleEG30,1,1,16122.7279082,16122.7279082
190659:2488,90:90,HLT_Photon150_v1,L1_SingleEG30,1,1,16133.4415282,16133.4415282
190659:2488,91:91,HLT_Photon150_v1,L1_SingleEG30,1,1,16128.7899289,16128.7899289
190659:2488,92:92,HLT_Photon150_v1,L1_SingleEG30,1,1,16111.3867709,16111.3867709
190659:2488,93:93,HLT_Photon150_v1,L1_SingleEG30,1,1,16108.916307,16108.916307
190659:2488,94:94,HLT_Photon150_v1,L1_SingleEG30,1,1,16113.5992056,16113.5992056
